STAID,LAT,LON,geometry
18867,60.38555555555556,5.523333333333333,POINT (5.523333333333333 60.38555555555556)
18868,63.68305555555556,9.6,POINT (9.6 63.68305555555556)
18869,61.08055555555556,10.475555555555555,POINT (10.475555555555555 61.08055555555556)
18870,62.12888888888889,8.716944444444444,POINT (8.716944444444444 62.12888888888889)
18871,61.88666666666666,10.153333333333334,POINT (10.153333333333334 61.88666666666666)
18872,60.6275,6.425277777777778,POINT (6.425277777777778 60.6275)
18873,68.31138888888889,15.641388888888889,POINT (15.641388888888889 68.31138888888889)
18874,65.8475,13.202777777777778,POINT (13.202777777777778 65.8475)
18875,68.94194444444445,16.676944444444445,POINT (16.676944444444445 68.94194444444445)
18876,59.445277777777775,7.997777777777777,POINT (7.997777777777777 59.445277777777775)
18877,66.32777777777777,14.172777777777776,POINT (14.172777777777776 66.32777777777777)
18878,59.34027777777778,10.895,POINT (10.895 59.34027777777778)
18879,61.906666666666666,7.859999999999999,POINT (7.859999999999999 61.906666666666666)
18880,63.206944444444446,8.995833333333332,POINT (8.995833333333332 63.206944444444446)
18881,60.41666666666666,8.453055555555554,POINT (8.453055555555554 60.41666666666666)
18882,60.685,6.743055555555555,POINT (6.743055555555555 60.685)
18883,59.81888888888889,7.209166666666666,POINT (7.209166666666666 59.81888888888889)
18884,68.62027777777777,14.450555555555557,POINT (14.450555555555557 68.62027777777777)
18885,61.48638888888889,9.035555555555556,POINT (9.035555555555556 61.48638888888889)
18886,59.55333333333333,7.359444444444444,POINT (7.359444444444444 59.55333333333333)
18887,63.20555555555556,11.1175,POINT (11.1175 63.20555555555556)
18888,61.58694444444445,9.783888888888889,POINT (9.783888888888889 61.58694444444445)
18889,70.05,24.970555555555556,POINT (24.970555555555556 70.05)
18890,61.45388888888889,5.860555555555555,POINT (5.860555555555555 61.45388888888889)
18891,62.66194444444445,9.821388888888889,POINT (9.821388888888889 62.66194444444445)
18892,61.405277777777776,11.143055555555556,POINT (11.143055555555556 61.405277777777776)
18893,61.31388888888888,12.266666666666667,POINT (12.266666666666667 61.31388888888888)
18894,60.46694444444445,6.860555555555555,POINT (6.860555555555555 60.46694444444445)
18895,59.73694444444445,10.201666666666666,POINT (10.201666666666666 59.73694444444445)
